Local time,Open,High,Low,Close,Volume
01.04.2025 00:37:35.000 GMT+1100,30.497,30.497,30.488,30.488,0.21
01.04.2025 00:37:36.000 GMT+1100,30.497,30.498,30.487,30.487,0.33089999999999997
01.04.2025 00:37:37.000 GMT+1100,30.477,30.477,30.477,30.477,0.12
01.04.2025 00:37:38.000 GMT+1100,30.477,30.478,30.467,30.467,0.33
01.04.2025 00:37:40.000 GMT+1100,30.468,30.468,30.468,30.468,0.12
01.04.2025 00:37:41.000 GMT+1100,30.477,30.477,30.467,30.467,0.24
01.04.2025 00:37:42.000 GMT+1100,30.487,30.487,30.487,30.487,0.12
01.04.2025 00:37:43.000 GMT+1100,30.477,30.498,30.477,30.498,0.3609
01.04.2025 00:37:47.000 GMT+1100,30.497,30.497,30.497,30.497,0.12
01.04.2025 00:37:52.000 GMT+1100,30.518,30.518,30.507,30.507,0.24
01.04.2025 00:38:01.000 GMT+1100,30.507,30.507,30.507,30.507,0.12
01.04.2025 00:38:03.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:06.000 GMT+1100,30.517,30.517,30.517,30.517,0.35999999999999993
01.04.2025 00:38:08.000 GMT+1100,30.517,30.517,30.517,30.517,0.24
01.04.2025 00:38:17.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:18.000 GMT+1100,30.518,30.518,30.518,30.518,0.24
01.04.2025 00:38:19.000 GMT+1100,30.528,30.528,30.517,30.517,0.24
01.04.2025 00:38:20.000 GMT+1100,30.518,30.518,30.518,30.518,0.12
01.04.2025 00:38:21.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:22.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:23.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:24.000 GMT+1100,30.517,30.517,30.517,30.517,0.12
01.04.2025 00:38:28.000 GMT+1100,30.517,30.527,30.517,30.518,0.35999999999999993
01.04.2025 00:38:29.000 GMT+1100,30.537,30.557,30.537,30.557,0.24180000000000001
01.04.2025 00:38:30.000 GMT+1100,30.557,30.567,30.557,30.567,0.24
01.04.2025 00:38:31.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:38:34.000 GMT+1100,30.577,30.577,30.567,30.567,0.24
01.04.2025 00:38:35.000 GMT+1100,30.577,30.577,30.577,30.577,0.24
01.04.2025 00:38:36.000 GMT+1100,30.567,30.577,30.567,30.567,0.6
01.04.2025 00:38:37.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:38:41.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:38:42.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:38:43.000 GMT+1100,30.578,30.578,30.567,30.567,0.21
01.04.2025 00:38:44.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:38:47.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:38:48.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:38:49.000 GMT+1100,30.578,30.578,30.578,30.578,0.12
01.04.2025 00:38:55.000 GMT+1100,30.577,30.577,30.567,30.567,0.21
01.04.2025 00:38:57.000 GMT+1100,30.577,30.577,30.577,30.577,0.12089999999999998
01.04.2025 00:38:58.000 GMT+1100,30.578,30.578,30.568,30.568,0.21
01.04.2025 00:38:59.000 GMT+1100,30.568,30.577,30.567,30.577,0.35999999999999993
01.04.2025 00:39:02.000 GMT+1100,30.578,30.578,30.578,30.578,0.12
01.04.2025 00:39:03.000 GMT+1100,30.568,30.568,30.568,30.568,0.24
01.04.2025 00:39:05.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:39:10.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:39:11.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:39:16.000 GMT+1100,30.548,30.548,30.538,30.547,0.33
01.04.2025 00:39:17.000 GMT+1100,30.547,30.547,30.547,30.547,0.12
01.04.2025 00:39:20.000 GMT+1100,30.557,30.567,30.557,30.567,0.24179999999999996
01.04.2025 00:39:22.000 GMT+1100,30.577,30.577,30.577,30.577,0.12089999999999998
01.04.2025 00:39:23.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:39:24.000 GMT+1100,30.587,30.588,30.577,30.577,0.2409
01.04.2025 00:39:26.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:39:28.000 GMT+1100,30.577,30.577,30.577,30.577,0.09
01.04.2025 00:39:29.000 GMT+1100,30.567,30.567,30.567,30.567,0.12
01.04.2025 00:39:30.000 GMT+1100,30.568,30.568,30.568,30.568,0.12
01.04.2025 00:39:34.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:39:35.000 GMT+1100,30.557,30.557,30.547,30.547,0.24
01.04.2025 00:39:39.000 GMT+1100,30.547,30.548,30.547,30.548,0.24
01.04.2025 00:39:40.000 GMT+1100,30.547,30.547,30.538,30.538,0.24
01.04.2025 00:39:41.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:39:42.000 GMT+1100,30.538,30.538,30.537,30.537,0.24
01.04.2025 00:39:44.000 GMT+1100,30.537,30.537,30.537,30.537,0.12
01.04.2025 00:39:49.000 GMT+1100,30.548,30.548,30.547,30.547,0.12089999999999998
01.04.2025 00:39:55.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:39:58.000 GMT+1100,30.567,30.567,30.567,30.567,0.0009
01.04.2025 00:39:59.000 GMT+1100,30.567,30.578,30.567,30.578,0.35999999999999993
01.04.2025 00:40:00.000 GMT+1100,30.578,30.578,30.577,30.577,0.24
01.04.2025 00:40:02.000 GMT+1100,30.567,30.567,30.567,30.567,0.24
01.04.2025 00:40:05.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:40:08.000 GMT+1100,30.547,30.567,30.547,30.567,0.6009
01.04.2025 00:40:09.000 GMT+1100,30.567,30.567,30.567,30.567,0.24
01.04.2025 00:40:11.000 GMT+1100,30.557,30.557,30.557,30.557,0.12
01.04.2025 00:40:13.000 GMT+1100,30.567,30.567,30.567,30.567,0.12089999999999998
01.04.2025 00:40:16.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:40:21.000 GMT+1100,30.568,30.568,30.568,30.568,0.12
01.04.2025 00:40:22.000 GMT+1100,30.567,30.567,30.567,30.567,0.35999999999999993
01.04.2025 00:40:25.000 GMT+1100,30.558,30.558,30.558,30.558,0.24
01.04.2025 00:40:26.000 GMT+1100,30.567,30.588,30.567,30.577,0.35999999999999993
01.04.2025 00:40:30.000 GMT+1100,30.597,30.607,30.577,30.597,0.3609
01.04.2025 00:40:34.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:40:35.000 GMT+1100,30.607,30.607,30.597,30.597,0.35999999999999993
01.04.2025 00:40:36.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:40:38.000 GMT+1100,30.607,30.607,30.607,30.607,0.12
01.04.2025 00:40:39.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:40:42.000 GMT+1100,30.607,30.607,30.607,30.607,0.12
01.04.2025 00:40:47.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:40:48.000 GMT+1100,30.597,30.597,30.597,30.597,0.09
01.04.2025 00:40:49.000 GMT+1100,30.587,30.587,30.587,30.587,0.12
01.04.2025 00:40:50.000 GMT+1100,30.588,30.588,30.588,30.588,0.12
01.04.2025 00:40:56.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:40:59.000 GMT+1100,30.587,30.597,30.587,30.587,0.4499999999999999
01.04.2025 00:41:00.000 GMT+1100,30.587,30.587,30.587,30.587,0.12
01.04.2025 00:41:01.000 GMT+1100,30.567,30.577,30.567,30.577,0.24
01.04.2025 00:41:04.000 GMT+1100,30.578,30.578,30.578,30.578,0.12
01.04.2025 00:41:06.000 GMT+1100,30.578,30.578,30.577,30.577,0.35999999999999993
01.04.2025 00:41:07.000 GMT+1100,30.577,30.577,30.577,30.577,0.24
01.04.2025 00:41:08.000 GMT+1100,30.577,30.577,30.567,30.567,0.24
01.04.2025 00:41:11.000 GMT+1100,30.577,30.577,30.577,30.577,0.12
01.04.2025 00:41:16.000 GMT+1100,30.578,30.588,30.578,30.588,0.24
01.04.2025 00:41:17.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:41:19.000 GMT+1100,30.608,30.608,30.597,30.597,0.24
01.04.2025 00:41:20.000 GMT+1100,30.607,30.607,30.597,30.597,0.24
01.04.2025 00:41:22.000 GMT+1100,30.597,30.597,30.597,30.597,0.12
01.04.2025 00:41:28.000 GMT+1100,30.587,30.587,30.587,30.587,0.12
01.04.2025 00:41:30.000 GMT+1100,30.617,30.617,30.617,30.617,0.12
01.04.2025 00:41:33.000 GMT+1100,30.617,30.617,30.607,30.607,0.21
01.04.2025 00:41:39.000 GMT+1100,30.628,30.628,30.628,30.628,0.12
01.04.2025 00:41:50.000 GMT+1100,30.627,30.627,30.618,30.618,0.21
01.04.2025 00:41:52.000 GMT+1100,30.607,30.617,30.607,30.607,0.48
01.04.2025 00:41:53.000 GMT+1100,30.618,30.618,30.618,30.618,0.12
01.04.2025 00:41:56.000 GMT+1100,30.607,30.617,30.607,30.617,0.24
