Local time,Open,High,Low,Close,Volume
01.04.2025 00:55:36.000 GMT+1100,71.197,71.197,71.197,71.197,0.0132
01.04.2025 00:55:47.000 GMT+1100,71.207,71.207,71.207,71.207,0.0009
01.04.2025 00:55:51.000 GMT+1100,71.207,71.207,71.207,71.207,0.0132
01.04.2025 00:56:03.000 GMT+1100,71.217,71.217,71.217,71.217,0.0009
01.04.2025 00:56:18.000 GMT+1100,71.247,71.247,71.217,71.217,0.0141
01.04.2025 00:56:19.000 GMT+1100,71.227,71.227,71.227,71.227,0.0009
01.04.2025 00:56:20.000 GMT+1100,71.227,71.287,71.227,71.287,0.0141
01.04.2025 00:56:30.000 GMT+1100,71.227,71.227,71.227,71.227,0.0132
01.04.2025 00:56:34.000 GMT+1100,71.287,71.287,71.287,71.287,0.0009
01.04.2025 00:56:35.000 GMT+1100,71.227,71.247,71.227,71.247,0.0273
01.04.2025 00:56:54.000 GMT+1100,71.257,71.257,71.257,71.257,0.0009
01.04.2025 00:57:08.000 GMT+1100,71.257,71.257,71.247,71.247,0.0222
01.04.2025 00:57:11.000 GMT+1100,71.087,71.207,71.087,71.207,0.0141
01.04.2025 00:57:36.000 GMT+1100,71.207,71.207,71.207,71.207,0.0132
01.04.2025 00:57:50.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 00:57:51.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 00:57:52.000 GMT+1100,71.157,71.157,71.157,71.157,0.0132
01.04.2025 00:57:56.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 00:57:57.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 00:57:58.000 GMT+1100,70.927,70.927,70.927,70.927,0.0132
01.04.2025 00:58:13.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:58:32.000 GMT+1100,70.917,70.917,70.917,70.917,0.0264
01.04.2025 00:58:33.000 GMT+1100,70.987,70.987,70.987,70.987,0.0009
01.04.2025 00:58:39.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:58:54.000 GMT+1100,70.967,70.967,70.967,70.967,0.0132
01.04.2025 00:58:55.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:59:01.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:59:04.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:59:06.000 GMT+1100,71.027,71.027,70.957,70.957,0.009899999999999999
01.04.2025 00:59:07.000 GMT+1100,71.047,71.047,70.917,70.917,0.027299999999999998
01.04.2025 00:59:08.000 GMT+1100,70.957,70.957,70.957,70.957,0.0132
01.04.2025 00:59:09.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 00:59:39.000 GMT+1100,71.147,71.147,71.147,71.147,0.0132
01.04.2025 01:00:01.000 GMT+1100,70.967,70.967,70.917,70.917,0.0264
01.04.2025 01:00:07.000 GMT+1100,70.917,71.097,70.917,71.097,0.0141
01.04.2025 01:00:13.000 GMT+1100,70.917,70.917,70.917,70.917,0.0132
01.04.2025 01:00:34.000 GMT+1100,70.937,70.937,70.937,70.937,0.0009
01.04.2025 01:00:35.000 GMT+1100,70.917,71.117,70.917,71.117,0.0141
01.04.2025 01:00:39.000 GMT+1100,71.127,71.127,71.127,71.127,0.0132
01.04.2025 01:00:53.000 GMT+1100,71.137,71.137,71.137,71.137,0.0009
01.04.2025 01:00:56.000 GMT+1100,71.137,71.137,71.137,71.137,0.0264
01.04.2025 01:00:57.000 GMT+1100,71.227,71.227,71.137,71.137,0.0264
01.04.2025 01:01:03.000 GMT+1100,71.197,71.197,71.197,71.197,0.0009
01.04.2025 01:01:15.000 GMT+1100,70.947,70.947,70.947,70.947,0.0132
01.04.2025 01:01:20.000 GMT+1100,70.957,70.957,70.957,70.957,0.0009
01.04.2025 01:01:25.000 GMT+1100,71.127,71.127,70.957,70.957,0.027299999999999998
01.04.2025 01:01:34.000 GMT+1100,71.227,71.227,71.227,71.227,0.0009
01.04.2025 01:01:41.000 GMT+1100,70.997,70.997,70.997,70.997,0.0132
01.04.2025 01:01:43.000 GMT+1100,71.247,71.247,71.247,71.247,0.0009
01.04.2025 01:01:46.000 GMT+1100,71.267,71.267,70.987,70.987,0.0222
01.04.2025 01:01:53.000 GMT+1100,71.047,71.047,71.047,71.047,0.0009
01.04.2025 01:01:54.000 GMT+1100,70.987,70.987,70.987,70.987,0.0132
01.04.2025 01:02:00.000 GMT+1100,71.137,71.137,70.987,70.987,0.0141
01.04.2025 01:02:04.000 GMT+1100,71.097,71.227,71.097,71.227,0.0018
01.04.2025 01:02:12.000 GMT+1100,71.247,71.247,71.247,71.247,0.0009
01.04.2025 01:02:40.000 GMT+1100,71.317,71.317,71.317,71.317,0.0132
01.04.2025 01:02:55.000 GMT+1100,71.247,71.257,71.247,71.257,0.0141
01.04.2025 01:03:11.000 GMT+1100,71.257,71.257,71.247,71.247,0.0354
01.04.2025 01:03:21.000 GMT+1100,71.087,71.207,71.087,71.207,0.0141
01.04.2025 01:03:33.000 GMT+1100,71.197,71.197,71.197,71.197,0.0132
01.04.2025 01:03:49.000 GMT+1100,71.227,71.227,71.227,71.227,0.0132
01.04.2025 01:03:51.000 GMT+1100,71.237,71.237,71.237,71.237,0.0009
01.04.2025 01:04:03.000 GMT+1100,71.267,71.267,71.267,71.267,0.0132
01.04.2025 01:04:04.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 01:04:14.000 GMT+1100,71.237,71.237,71.237,71.237,0.0009
01.04.2025 01:04:32.000 GMT+1100,71.087,71.087,71.087,71.087,0.0132
01.04.2025 01:04:33.000 GMT+1100,71.257,71.257,71.257,71.257,0.0132
01.04.2025 01:04:48.000 GMT+1100,71.287,71.287,71.267,71.267,0.015000000000000001
01.04.2025 01:04:59.000 GMT+1100,71.267,71.267,71.267,71.267,0.0132
01.04.2025 01:05:02.000 GMT+1100,71.307,71.307,71.307,71.307,0.0132
01.04.2025 01:05:18.000 GMT+1100,71.327,71.327,71.327,71.327,0.0132
01.04.2025 01:05:19.000 GMT+1100,71.307,71.307,71.307,71.307,0.0132
01.04.2025 01:05:20.000 GMT+1100,71.347,71.347,71.347,71.347,0.0009
01.04.2025 01:05:23.000 GMT+1100,71.357,71.357,71.357,71.357,0.0009
01.04.2025 01:05:29.000 GMT+1100,71.407,71.407,71.407,71.407,0.0009
01.04.2025 01:05:35.000 GMT+1100,71.407,71.407,71.347,71.347,0.0222
01.04.2025 01:05:39.000 GMT+1100,71.377,71.377,71.347,71.347,0.0141
01.04.2025 01:05:41.000 GMT+1100,71.347,71.347,71.347,71.347,0.0132
01.04.2025 01:05:43.000 GMT+1100,71.347,71.347,71.347,71.347,0.0132
01.04.2025 01:05:45.000 GMT+1100,71.347,71.347,71.347,71.347,0.0132
01.04.2025 01:05:47.000 GMT+1100,71.357,71.357,71.357,71.357,0.0009
01.04.2025 01:05:49.000 GMT+1100,71.397,71.397,71.397,71.397,0.0009
01.04.2025 01:06:04.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:06:07.000 GMT+1100,71.407,71.407,71.407,71.407,0.0009
01.04.2025 01:06:10.000 GMT+1100,71.407,71.407,71.407,71.407,0.0132
01.04.2025 01:06:11.000 GMT+1100,71.407,71.407,71.407,71.407,0.0132
01.04.2025 01:06:14.000 GMT+1100,71.357,71.357,71.357,71.357,0.0132
01.04.2025 01:06:22.000 GMT+1100,71.397,71.397,71.397,71.397,0.0009
01.04.2025 01:06:25.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:06:51.000 GMT+1100,71.467,71.467,71.467,71.467,0.0009
01.04.2025 01:06:55.000 GMT+1100,71.467,71.467,71.467,71.467,0.0396
01.04.2025 01:06:56.000 GMT+1100,71.487,71.487,71.487,71.487,0.0132
01.04.2025 01:07:00.000 GMT+1100,71.487,71.487,71.487,71.487,0.0132
01.04.2025 01:07:03.000 GMT+1100,71.487,71.487,71.487,71.487,0.0132
01.04.2025 01:07:08.000 GMT+1100,71.427,71.427,71.427,71.427,0.0132
01.04.2025 01:07:14.000 GMT+1100,71.407,71.407,71.407,71.407,0.0132
01.04.2025 01:07:17.000 GMT+1100,71.457,71.457,71.457,71.457,0.0009
01.04.2025 01:07:19.000 GMT+1100,71.457,71.457,71.457,71.457,0.0132
01.04.2025 01:07:39.000 GMT+1100,71.457,71.457,71.457,71.457,0.0132
01.04.2025 01:07:50.000 GMT+1100,71.457,71.457,71.457,71.457,0.0132
01.04.2025 01:07:51.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:07:52.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:07:59.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:08:12.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:08:13.000 GMT+1100,71.397,71.397,71.397,71.397,0.0264
01.04.2025 01:08:14.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:08:15.000 GMT+1100,71.417,71.417,71.417,71.417,0.0009
01.04.2025 01:08:16.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:17.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:19.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:20.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:22.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:23.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:24.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:08:25.000 GMT+1100,71.447,71.447,71.447,71.447,0.0141
01.04.2025 01:08:40.000 GMT+1100,71.457,71.457,71.457,71.457,0.0132
01.04.2025 01:08:47.000 GMT+1100,71.457,71.457,71.457,71.457,0.0132
01.04.2025 01:08:48.000 GMT+1100,71.457,71.457,71.457,71.457,0.0264
01.04.2025 01:08:49.000 GMT+1100,71.457,71.457,71.457,71.457,0.0264
01.04.2025 01:08:56.000 GMT+1100,71.467,71.467,71.467,71.467,0.0009
01.04.2025 01:09:07.000 GMT+1100,71.487,71.487,71.487,71.487,0.0132
01.04.2025 01:09:11.000 GMT+1100,71.497,71.497,71.497,71.497,0.0264
01.04.2025 01:09:14.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:09:15.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:09:47.000 GMT+1100,71.477,71.477,71.417,71.417,0.027299999999999998
01.04.2025 01:10:05.000 GMT+1100,71.417,71.417,71.417,71.417,0.0264
01.04.2025 01:10:15.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:10:25.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:10:49.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:10:51.000 GMT+1100,71.397,71.397,71.397,71.397,0.0132
01.04.2025 01:10:57.000 GMT+1100,71.417,71.417,71.417,71.417,0.0132
01.04.2025 01:11:10.000 GMT+1100,71.417,71.417,71.397,71.397,0.0222
01.04.2025 01:11:30.000 GMT+1100,71.367,71.367,71.367,71.367,0.0132
01.04.2025 01:11:38.000 GMT+1100,71.357,71.357,71.357,71.357,0.0132
01.04.2025 01:11:40.000 GMT+1100,71.357,71.357,71.357,71.357,0.0132
01.04.2025 01:11:42.000 GMT+1100,71.297,71.297,71.297,71.297,0.0132
01.04.2025 01:11:49.000 GMT+1100,71.347,71.347,71.347,71.347,0.0132
01.04.2025 01:11:53.000 GMT+1100,71.367,71.367,71.367,71.367,0.0132
01.04.2025 01:12:02.000 GMT+1100,71.367,71.367,71.367,71.367,0.0132
01.04.2025 01:12:07.000 GMT+1100,71.367,71.367,71.367,71.367,0.0132
01.04.2025 01:12:08.000 GMT+1100,71.367,71.367,71.347,71.347,0.0222
01.04.2025 01:12:09.000 GMT+1100,71.297,71.297,71.297,71.297,0.0132
01.04.2025 01:12:35.000 GMT+1100,71.337,71.337,71.337,71.337,0.0141
01.04.2025 01:12:36.000 GMT+1100,71.297,71.297,71.297,71.297,0.0132
01.04.2025 01:12:39.000 GMT+1100,71.347,71.347,71.347,71.347,0.0132
01.04.2025 01:12:52.000 GMT+1100,71.277,71.277,71.277,71.277,0.0132
01.04.2025 01:12:53.000 GMT+1100,71.267,71.267,71.267,71.267,0.0132
01.04.2025 01:13:00.000 GMT+1100,71.227,71.227,71.227,71.227,0.0132
01.04.2025 01:13:19.000 GMT+1100,71.227,71.227,71.187,71.187,0.0222
