,date,open,high,low,close,volume
0,20241005  00:03:30,1.74,1.74,1.74,1.74,-1
0,20241005  00:03:40,1.74,1.74,1.74,1.74,-1
0,20241005  00:03:50,1.74,1.77,1.74,1.77,-1
0,20241005  00:04:00,1.77,1.77,1.77,1.77,-1
0,20241005  00:04:10,1.77,1.79,1.76,1.77,-1
0,20241005  00:04:20,1.77,1.77,1.76,1.77,-1
0,20241005  00:04:30,1.77,1.77,1.76,1.77,-1
0,20241005  00:04:40,1.77,1.77,1.76,1.76,-1
0,20241005  00:04:50,1.76,1.76,1.76,1.76,-1
0,20241005  00:05:00,1.76,1.76,1.74,1.74,-1
0,20241005  00:05:10,1.74,1.75,1.73,1.74,-1
0,20241005  00:05:20,1.74,1.75,1.73,1.75,-1
0,20241005  00:05:30,1.75,1.75,1.74,1.75,-1
0,20241005  00:05:40,1.75,1.75,1.71,1.73,-1
0,20241005  00:05:50,1.73,1.74,1.73,1.73,-1
0,20241005  00:06:00,1.73,1.73,1.73,1.73,-1
0,20241005  00:06:10,1.73,1.74,1.72,1.74,-1
0,20241005  00:06:20,1.74,1.74,1.73,1.74,-1
0,20241005  00:06:30,1.74,1.74,1.72,1.73,-1
0,20241005  00:06:40,1.73,1.73,1.7,1.7,-1
0,20241005  00:06:50,1.7,1.7,1.69,1.69,-1
0,20241005  00:07:00,1.69,1.7,1.68,1.69,-1
0,20241005  00:07:10,1.69,1.69,1.68,1.69,-1
0,20241005  00:07:20,1.69,1.69,1.69,1.69,-1
0,20241005  00:07:30,1.69,1.72,1.69,1.72,-1
0,20241005  00:07:40,1.72,1.76,1.72,1.74,-1
0,20241005  00:07:50,1.74,1.75,1.72,1.75,-1
0,20241005  00:08:00,1.75,1.78,1.75,1.77,-1
0,20241005  00:08:10,1.77,1.79,1.76,1.79,-1
0,20241005  00:08:20,1.79,1.79,1.78,1.79,-1
0,20241005  00:08:30,1.79,1.82,1.79,1.81,-1
0,20241005  00:08:40,1.81,1.87,1.81,1.87,-1
0,20241005  00:08:50,1.87,1.88,1.87,1.88,-1
0,20241005  00:09:00,1.88,1.89,1.87,1.89,-1
0,20241005  00:09:10,1.89,1.95,1.88,1.93,-1
0,20241005  00:09:20,1.93,1.93,1.88,1.91,-1
0,20241005  00:09:30,1.91,1.95,1.9,1.94,-1
0,20241005  00:09:40,1.94,1.95,1.91,1.92,-1
0,20241005  00:09:50,1.92,1.94,1.9,1.94,-1
0,20241005  00:10:00,1.94,2.0,1.94,1.99,-1
0,20241005  00:10:10,1.99,1.99,1.97,1.98,-1
0,20241005  00:10:20,1.98,1.98,1.97,1.98,-1
0,20241005  00:10:30,1.98,2.0,1.98,1.99,-1
0,20241005  00:10:40,1.99,1.99,1.98,1.99,-1
0,20241005  00:10:50,1.99,1.99,1.97,1.98,-1
0,20241005  00:11:00,1.98,1.98,1.94,1.94,-1
0,20241005  00:11:10,1.94,1.95,1.94,1.94,-1
0,20241005  00:11:20,1.94,1.96,1.92,1.93,-1
0,20241005  00:11:30,1.93,1.93,1.9,1.9,-1
0,20241005  00:11:40,1.9,1.92,1.89,1.9,-1
0,20241005  00:11:50,1.9,1.9,1.88,1.88,-1
0,20241005  00:12:00,1.88,1.91,1.88,1.91,-1
0,20241005  00:12:10,1.91,1.92,1.88,1.9,-1
0,20241005  00:12:20,1.9,1.9,1.89,1.9,-1
0,20241005  00:12:30,1.9,1.9,1.88,1.9,-1
0,20241005  00:12:40,1.9,1.9,1.88,1.88,-1
0,20241005  00:12:50,1.88,1.91,1.88,1.9,-1
0,20241005  00:13:00,1.9,1.9,1.87,1.88,-1
0,20241005  00:13:10,1.88,1.88,1.86,1.87,-1
0,20241005  00:13:20,1.87,1.88,1.83,1.84,-1
0,20241005  00:13:30,1.84,1.84,1.79,1.81,-1
0,20241005  00:13:40,1.81,1.82,1.79,1.82,-1
0,20241005  00:13:50,1.82,1.84,1.81,1.84,-1
0,20241005  00:14:00,1.84,1.84,1.81,1.82,-1
0,20241005  00:14:10,1.82,1.84,1.81,1.84,-1
0,20241005  00:14:20,1.84,1.84,1.81,1.82,-1
0,20241005  00:14:30,1.82,1.82,1.79,1.8,-1
0,20241005  00:14:40,1.8,1.82,1.79,1.81,-1
0,20241005  00:14:50,1.81,1.81,1.79,1.79,-1
0,20241005  00:15:00,1.79,1.83,1.79,1.82,-1
0,20241005  00:15:10,1.82,1.82,1.79,1.8,-1
0,20241005  00:15:20,1.8,1.81,1.79,1.79,-1
